pago_id,monto,fecha,id_usuario,subs_id
1184,4000,2021-05-27 00:00:00,110,131
2850,5000,2021-02-03 00:00:00,30,298
2198,8000,2021-02-08 00:00:00,13,230
1793,6500,2021-06-07 00:00:00,111,191
3423,5000,2021-04-28 00:00:00,94,363
2211,9500,2021-10-22 00:00:00,92,231
2344,6500,2021-05-30 00:00:00,19,244
2501,5000,2021-04-06 00:00:00,134,262
2920,4000,2020-09-26 00:00:00,144,306
1631,6500,2021-10-14 00:00:00,150,174
2990,3500,2020-07-26 00:00:00,46,311
2266,5000,2021-09-19 00:00:00,35,235
2051,8000,2021-11-07 00:00:00,123,216
1547,5500,2021-05-03 00:00:00,64,168
2677,4000,2021-10-11 00:00:00,139,280
3017,6500,2021-09-11 00:00:00,44,314
2853,5000,2021-02-06 00:00:00,30,298
1912,8000,2021-09-27 00:00:00,28,202
2145,5000,2020-10-20 00:00:00,88,225
2195,6500,2021-04-10 00:00:00,32,229
964,4000,2020-09-23 00:00:00,93,105
2018,5000,2020-05-17 00:00:00,123,215
742,6500,2021-12-14 00:00:00,89,79
712,5500,2021-10-12 00:00:00,89,73
1271,9500,2021-02-20 00:00:00,74,138
2206,9500,2021-05-22 00:00:00,92,231
39,6500,2020-09-28 00:00:00,22,7
3462,4000,2021-07-24 00:00:00,100,367
3345,7500,2021-02-18 00:00:00,135,354
779,5500,2021-10-24 00:00:00,96,82
386,4000,2020-10-10 00:00:00,107,39
3209,6500,2020-10-11 00:00:00,129,340
3148,9500,2021-06-09 00:00:00,129,333
3320,5000,2021-05-20 00:00:00,130,352
1811,7500,2020-05-11 00:00:00,121,195
2360,5000,2020-08-10 00:00:00,91,247
1314,5000,2021-07-26 00:00:00,126,140
1554,5500,2021-05-10 00:00:00,64,168
1334,8500,2021-07-11 00:00:00,126,142
31,4500,2021-07-11 00:00:00,102,5
2380,4000,2020-09-26 00:00:00,38,250
3342,7000,2021-08-12 00:00:00,130,353
1449,6500,2021-12-18 00:00:00,27,156
1896,8000,2021-10-03 00:00:00,28,201
2983,5000,2021-06-19 00:00:00,46,310
2748,7000,2021-10-30 00:00:00,80,287
2346,6500,2021-07-30 00:00:00,19,244
1303,5000,2020-08-26 00:00:00,126,140
2521,3000,2020-10-28 00:00:00,134,264
805,5000,2021-09-12 00:00:00,137,84
2467,5500,2021-07-09 00:00:00,36,258
3009,5000,2021-10-12 00:00:00,46,312
969,7000,2021-10-13 00:00:00,143,107
2135,6500,2021-04-08 00:00:00,88,224
748,5000,2021-02-24 00:00:00,96,80
628,6500,2021-12-19 00:00:00,125,63
2653,4000,2021-01-17 00:00:00,12,278
2679,4500,2021-01-04 00:00:00,139,281
98,5000,2021-09-04 00:00:00,145,10
564,5000,2021-08-25 00:00:00,99,54
3026,5000,2021-09-22 00:00:00,44,316
3335,7000,2021-08-05 00:00:00,130,353
67,5000,2021-08-05 00:00:00,22,8
614,5500,2020-11-25 00:00:00,125,61
1914,8000,2021-11-27 00:00:00,28,202
3158,8500,2021-10-04 00:00:00,129,334
2410,5500,2021-04-22 00:00:00,38,252
2943,5500,2020-08-28 00:00:00,144,308
2003,3000,2021-06-11 00:00:00,123,213
3048,6500,2021-10-18 00:00:00,98,319
922,5000,2021-08-06 00:00:00,54,98
637,5000,2021-08-27 00:00:00,125,65
170,4000,2021-06-16 00:00:00,122,17
1849,6500,2021-05-02 00:00:00,83,198
2784,3000,2021-11-28 00:00:00,80,289
2335,8000,2021-10-15 00:00:00,136,241
214,5500,2021-07-21 00:00:00,122,20
1533,3000,2021-06-19 00:00:00,64,167
2212,9500,2021-11-22 00:00:00,92,231
2328,8000,2021-03-15 00:00:00,136,241
2147,5000,2020-12-20 00:00:00,88,225
2931,4000,2021-08-26 00:00:00,144,306
37,6500,2021-11-11 00:00:00,22,6
234,7000,2021-11-04 00:00:00,9,22
2050,8000,2021-11-06 00:00:00,123,216
925,5000,2021-08-09 00:00:00,54,98
1564,6500,2021-08-01 00:00:00,64,169
1442,6500,2021-05-18 00:00:00,27,156
425,5500,2021-10-11 00:00:00,107,41
2622,6500,2021-10-10 00:00:00,86,276
723,5000,2021-10-21 00:00:00,89,77
3056,7500,2021-11-29 00:00:00,98,320
1059,8500,2021-06-12 00:00:00,105,117
1379,9500,2021-12-09 00:00:00,106,149
3000,5000,2021-10-03 00:00:00,46,312
2172,3000,2021-04-03 00:00:00,149,227
2207,9500,2021-06-22 00:00:00,92,231
2670,4000,2021-10-04 00:00:00,139,280
3132,7000,2021-09-13 00:00:00,140,331
1997,3000,2021-06-05 00:00:00,123,213
3310,5000,2021-12-20 00:00:00,130,351
418,5500,2021-10-04 00:00:00,107,41
2615,6500,2021-10-03 00:00:00,86,276
1101,5000,2021-11-05 00:00:00,148,122
894,4000,2020-08-20 00:00:00,54,97
2791,4000,2020-12-19 00:00:00,10,291
3191,5000,2021-03-16 00:00:00,129,338
588,6500,2021-10-28 00:00:00,99,58
2496,5000,2021-04-01 00:00:00,134,262
692,6500,2021-10-30 00:00:00,77,71
2112,5000,2020-10-15 00:00:00,118,223
3440,7000,2021-02-21 00:00:00,76,366
2433,8000,2021-10-14 00:00:00,36,254
357,9500,2021-01-11 00:00:00,116,34
3174,4500,2021-10-10 00:00:00,129,336
1814,7500,2021-05-02 00:00:00,121,195
3266,6500,2020-01-08 00:00:00,130,349
2062,6500,2021-01-19 00:00:00,123,218
1479,5000,2020-09-10 00:00:00,133,159
2253,5000,2020-08-19 00:00:00,35,235
1648,3000,2021-05-10 00:00:00,141,177
3434,7000,2020-08-21 00:00:00,76,366
2093,5000,2021-10-03 00:00:00,118,221
20,5000,2021-08-28 00:00:00,102,3
756,5000,2021-10-24 00:00:00,96,80
634,7000,2021-12-18 00:00:00,125,64
157,3000,2021-05-26 00:00:00,115,15
997,8500,2021-04-30 00:00:00,143,110
3115,8000,2021-01-02 00:00:00,78,330
2548,9500,2021-01-30 00:00:00,134,268
410,5000,2021-05-07 00:00:00,107,40
294,7500,2021-10-20 00:00:00,97,28
3099,6500,2021-10-29 00:00:00,78,327
3175,4500,2021-10-11 00:00:00,129,336
1851,6500,2021-05-04 00:00:00,83,198
3433,7000,2020-07-21 00:00:00,76,366
2498,5000,2021-04-03 00:00:00,134,262
2313,6500,2021-07-18 00:00:00,136,239
2640,7000,2021-08-15 00:00:00,12,277
1419,4000,2021-02-23 00:00:00,142,154
1779,3000,2020-05-11 00:00:00,111,190
3003,5000,2021-10-06 00:00:00,46,312
1748,4500,2021-09-17 00:00:00,128,186
3467,4000,2021-12-24 00:00:00,100,367
29,7000,2021-12-24 00:00:00,102,4
2368,5000,2021-08-06 00:00:00,91,247
711,5500,2021-10-11 00:00:00,89,73
3214,6500,2021-10-04 00:00:00,129,340
2387,4000,2021-04-26 00:00:00,38,250
2299,3000,2021-09-08 00:00:00,136,237
2219,5000,2021-04-15 00:00:00,35,232
1193,5000,2021-11-05 00:00:00,81,132
946,5000,2020-09-19 00:00:00,112,102
1895,8000,2021-10-02 00:00:00,28,201
2779,3000,2021-06-28 00:00:00,80,289
1197,5000,2021-11-09 00:00:00,81,132
2803,6500,2021-01-18 00:00:00,10,292
2778,3000,2021-05-28 00:00:00,80,289
996,4000,2021-12-14 00:00:00,143,109
2325,8000,2020-12-15 00:00:00,136,241
2012,5000,2021-07-26 00:00:00,123,214
962,4000,2020-07-23 00:00:00,93,105
424,5500,2021-10-10 00:00:00,107,41
3136,5000,2021-10-31 00:00:00,129,332
541,5500,2021-05-21 00:00:00,99,53
2974,4500,2021-09-19 00:00:00,46,309
1396,8000,2021-08-16 00:00:00,106,150
2252,5000,2020-07-19 00:00:00,35,235
1764,5500,2021-01-04 00:00:00,111,188
3135,7000,2021-12-13 00:00:00,140,331
340,8000,2021-11-27 00:00:00,108,31
1162,9500,2020-11-20 00:00:00,110,129
2967,4500,2021-02-19 00:00:00,46,309
1893,8000,2020-10-12 00:00:00,28,201
3277,6500,2021-01-07 00:00:00,130,349
3400,5000,2021-01-06 00:00:00,132,359
849,8000,2021-03-04 00:00:00,40,88
1272,9500,2021-03-20 00:00:00,74,138
2516,3000,2020-05-28 00:00:00,134,264
1454,5500,2020-11-13 00:00:00,133,157
394,4000,2021-10-06 00:00:00,107,39
1095,5000,2020-11-14 00:00:00,148,121
3127,7000,2021-04-13 00:00:00,140,331
3078,6500,2020-10-24 00:00:00,113,325
3163,8500,2021-10-09 00:00:00,129,334
1084,5500,2021-09-06 00:00:00,148,120
3224,7500,2021-05-12 00:00:00,129,342
3302,5000,2021-04-20 00:00:00,130,351
1487,8000,2021-08-02 00:00:00,133,161
48,6500,2021-06-28 00:00:00,22,7
3380,3500,2021-12-16 00:00:00,135,356
518,7000,2020-03-07 00:00:00,127,51
224,3500,2020-11-10 00:00:00,9,21
2761,9500,2021-06-16 00:00:00,80,288
1382,9500,2021-12-12 00:00:00,106,149
532,7000,2021-03-09 00:00:00,127,51
1734,4500,2020-07-17 00:00:00,128,186
2367,5000,2021-08-05 00:00:00,91,247
2961,4500,2020-08-19 00:00:00,46,309
1092,5000,2020-08-14 00:00:00,148,121
629,7000,2021-07-18 00:00:00,125,64
3443,7000,2021-05-21 00:00:00,76,366
568,5000,2021-12-25 00:00:00,99,54
1590,5000,2021-11-07 00:00:00,150,172
2635,7000,2021-03-15 00:00:00,12,277
830,5500,2021-04-23 00:00:00,40,87
2807,6500,2021-05-18 00:00:00,10,292
1883,9500,2021-07-09 00:00:00,83,200
2725,9500,2021-11-03 00:00:00,80,285
2550,9500,2021-03-28 00:00:00,134,268
3454,4000,2020-11-24 00:00:00,100,367
815,7000,2021-12-21 00:00:00,40,85
1868,6500,2021-08-20 00:00:00,83,199
1253,6500,2021-04-03 00:00:00,74,137
2474,9500,2020-06-09 00:00:00,36,259
2488,9500,2021-06-11 00:00:00,36,259
1441,6500,2021-04-18 00:00:00,27,156
2261,5000,2021-04-19 00:00:00,35,235
2451,6500,2021-01-10 00:00:00,36,256
1610,9500,2021-04-09 00:00:00,150,173
316,9500,2021-04-12 00:00:00,97,29
227,7000,2020-11-09 00:00:00,9,22
1195,5000,2021-11-07 00:00:00,81,132
3445,7000,2021-07-21 00:00:00,76,366
2692,5000,2020-09-13 00:00:00,139,282
3458,4000,2021-03-24 00:00:00,100,367
430,6500,2021-04-10 00:00:00,107,42
1455,5500,2020-12-13 00:00:00,133,157
2740,4000,2021-08-14 00:00:00,80,286
2354,3500,2021-10-20 00:00:00,91,246
1576,5000,2021-11-16 00:00:00,150,170
440,6500,2021-02-07 00:00:00,101,45
1846,4000,2021-02-11 00:00:00,82,197
1474,6500,2021-11-21 00:00:00,133,158
1266,9500,2020-09-20 00:00:00,74,138
2509,5000,2021-06-30 00:00:00,134,263
1367,9500,2021-06-06 00:00:00,120,147
1974,9500,2021-12-12 00:00:00,85,208
3457,4000,2021-02-24 00:00:00,100,367
1248,5500,2021-09-15 00:00:00,74,136
185,5000,2021-09-08 00:00:00,122,18
3416,5000,2021-09-18 00:00:00,94,362
662,5000,2020-11-30 00:00:00,125,68
1335,8500,2021-07-12 00:00:00,126,142
2311,6500,2021-05-18 00:00:00,136,239
938,3000,2021-07-06 00:00:00,112,100
885,5500,2020-10-10 00:00:00,54,93
3337,7000,2021-08-07 00:00:00,130,353
2036,5000,2021-11-17 00:00:00,123,215
1139,3500,2021-06-28 00:00:00,23,125
1900,8000,2021-10-07 00:00:00,28,201
1072,8500,2021-12-16 00:00:00,41,119
278,7000,2021-02-08 00:00:00,97,26
2066,6500,2021-05-19 00:00:00,123,218
576,9500,2021-11-12 00:00:00,99,57
1926,4500,2021-11-20 00:00:00,28,204
1413,5000,2021-03-19 00:00:00,142,153
2397,5000,2021-11-19 00:00:00,38,251
2102,5000,2021-10-12 00:00:00,118,221
1477,5000,2020-09-08 00:00:00,133,159
2718,8000,2021-09-30 00:00:00,80,284
3430,5000,2021-11-19 00:00:00,76,365
1171,9500,2021-08-20 00:00:00,110,129
2747,7000,2021-09-30 00:00:00,80,287
840,8000,2020-03-07 00:00:00,40,88
3218,7000,2021-06-09 00:00:00,129,341
1606,9500,2021-04-05 00:00:00,150,173
3472,4000,2021-07-16 00:00:00,100,368
1105,5000,2021-11-09 00:00:00,148,122
2996,3500,2021-01-26 00:00:00,46,311
1131,3500,2020-10-30 00:00:00,23,125
1774,3500,2021-10-27 00:00:00,111,189
3034,5000,2021-03-13 00:00:00,98,318
1507,9500,2021-03-18 00:00:00,124,164
1062,9500,2021-12-11 00:00:00,105,118
2769,3000,2020-08-28 00:00:00,80,289
2092,5000,2021-10-02 00:00:00,118,221
1094,5000,2020-10-14 00:00:00,148,121
3477,5000,2021-12-06 00:00:00,100,369
3292,6500,2021-07-12 00:00:00,130,350
166,6500,2021-05-19 00:00:00,115,16
3340,7000,2021-08-10 00:00:00,130,353
125,8000,2021-11-15 00:00:00,104,11
1506,9500,2021-02-18 00:00:00,124,164
1892,8000,2020-10-11 00:00:00,28,201
167,6500,2021-06-19 00:00:00,115,16
467,9500,2021-05-16 00:00:00,146,47
680,6500,2021-06-15 00:00:00,77,69
196,3000,2021-11-03 00:00:00,122,19
2627,7000,2020-07-15 00:00:00,12,277
3040,5000,2021-09-13 00:00:00,98,318
1280,9500,2021-11-20 00:00:00,74,138
108,8000,2020-06-15 00:00:00,104,11
2966,4500,2021-01-19 00:00:00,46,309
1451,5500,2020-08-13 00:00:00,133,157
1261,6500,2021-04-11 00:00:00,74,137
2189,6500,2021-04-04 00:00:00,32,229
2936,4500,2020-01-08 00:00:00,144,307
1065,8500,2021-05-16 00:00:00,41,119
1121,9500,2021-08-08 00:00:00,23,124
1068,8500,2021-08-16 00:00:00,41,119
729,5000,2020-12-18 00:00:00,89,78
893,4000,2021-03-12 00:00:00,54,96
1292,6500,2021-05-05 00:00:00,117,139
76,5000,2020-11-30 00:00:00,145,9
2404,5500,2020-10-22 00:00:00,38,252
1007,5000,2020-09-13 00:00:00,143,111
1410,5000,2020-12-19 00:00:00,142,153
144,5000,2021-05-24 00:00:00,104,13
1404,6500,2021-10-28 00:00:00,106,151
2234,8500,2021-09-02 00:00:00,35,233
1612,9500,2021-04-11 00:00:00,150,173
3330,7000,2020-08-12 00:00:00,130,353
2260,5000,2021-03-19 00:00:00,35,235
2190,6500,2021-04-05 00:00:00,32,229
2034,5000,2021-09-17 00:00:00,123,215
2362,5000,2020-08-12 00:00:00,91,247
2438,8000,2021-08-07 00:00:00,36,255
2703,5000,2021-08-13 00:00:00,139,282
609,5500,2020-06-25 00:00:00,125,61
1440,6500,2021-03-18 00:00:00,27,156
3261,3000,2021-09-19 00:00:00,129,348
2394,4000,2021-11-26 00:00:00,38,250
362,5500,2020-11-28 00:00:00,116,36
159,3000,2021-07-26 00:00:00,115,15
1671,3000,2021-08-12 00:00:00,47,179
2766,9500,2021-11-16 00:00:00,80,288
2887,6500,2020-11-13 00:00:00,45,302
2160,3500,2021-05-14 00:00:00,88,226
1649,3000,2021-05-11 00:00:00,141,177
1002,8500,2021-09-30 00:00:00,143,110
1044,4000,2021-11-18 00:00:00,79,114
219,5500,2021-12-21 00:00:00,122,20
1702,4500,2021-06-12 00:00:00,47,182
1541,5500,2020-05-09 00:00:00,64,168
1715,3000,2020-08-09 00:00:00,128,184
743,5000,2020-09-24 00:00:00,96,80
1575,6500,2021-08-12 00:00:00,64,169
78,5000,2021-01-30 00:00:00,145,9
484,5000,2021-07-28 00:00:00,146,48
718,8000,2021-03-12 00:00:00,89,75
1346,3500,2020-08-25 00:00:00,120,146
3004,5000,2021-10-07 00:00:00,46,312
570,5000,2021-05-21 00:00:00,99,56
2770,3000,2020-09-28 00:00:00,80,289
2214,5000,2020-11-15 00:00:00,35,232
49,6500,2021-07-28 00:00:00,22,7
610,5500,2020-07-25 00:00:00,125,61
337,8000,2021-08-27 00:00:00,108,31
201,3000,2021-11-08 00:00:00,122,19
444,6500,2021-02-11 00:00:00,101,45
797,5000,2021-01-12 00:00:00,96,83
829,5500,2021-03-23 00:00:00,40,87
1185,4000,2021-06-27 00:00:00,110,131
2608,6500,2020-10-08 00:00:00,86,276
3031,6500,2021-07-12 00:00:00,44,317
119,8000,2021-05-15 00:00:00,104,11
1577,5000,2021-12-16 00:00:00,150,170
2741,4000,2021-09-14 00:00:00,80,286
1136,3500,2021-03-28 00:00:00,23,125
765,5500,2020-08-24 00:00:00,96,82
1249,5500,2021-10-15 00:00:00,74,136
2580,6500,2021-07-23 00:00:00,131,273
3118,8000,2021-01-05 00:00:00,78,330
927,5000,2021-08-11 00:00:00,54,98
3161,8500,2021-10-07 00:00:00,129,334
1603,9500,2021-04-02 00:00:00,150,173
934,3000,2021-07-02 00:00:00,112,100
2988,5000,2021-11-19 00:00:00,46,310
2729,9500,2021-11-07 00:00:00,80,285
2104,5000,2021-11-08 00:00:00,118,222
617,4500,2021-06-12 00:00:00,125,62
839,8000,2020-03-06 00:00:00,40,88
1992,3000,2020-06-12 00:00:00,123,213
3128,7000,2021-05-13 00:00:00,140,331
3347,7500,2021-04-18 00:00:00,135,354
1692,4500,2021-06-02 00:00:00,47,182
2564,5000,2021-10-18 00:00:00,131,270
3138,9500,2020-06-11 00:00:00,129,333
2978,5000,2021-01-19 00:00:00,46,310
968,7000,2021-09-13 00:00:00,143,107
2504,5000,2021-04-09 00:00:00,134,262
2534,4000,2021-01-26 00:00:00,134,266
919,5000,2021-08-03 00:00:00,54,98
612,5500,2020-09-25 00:00:00,125,61
1700,4500,2021-06-10 00:00:00,47,182
3119,8000,2021-01-06 00:00:00,78,330
1887,8000,2020-10-06 00:00:00,28,201
1492,8000,2021-08-07 00:00:00,133,161
864,4000,2021-05-26 00:00:00,40,90
3104,5000,2020-08-25 00:00:00,78,328
2026,5000,2021-01-17 00:00:00,123,215
3002,5000,2021-10-05 00:00:00,46,312
3394,5000,2021-10-26 00:00:00,95,358
2854,5500,2021-01-27 00:00:00,30,299
1458,6500,2020-07-21 00:00:00,133,158
2819,5000,2021-02-25 00:00:00,10,293
1905,8000,2021-10-12 00:00:00,28,201
3267,6500,2020-01-09 00:00:00,130,349
2355,3500,2021-11-20 00:00:00,91,246
198,3000,2021-11-05 00:00:00,122,19
642,6500,2021-08-15 00:00:00,125,66
1615,6500,2020-06-14 00:00:00,150,174
1602,9500,2021-04-01 00:00:00,150,173
2440,8000,2021-08-09 00:00:00,36,255
353,9500,2021-01-07 00:00:00,116,34
1973,9500,2021-12-11 00:00:00,85,208
707,5500,2021-10-07 00:00:00,89,73
2223,5000,2021-08-15 00:00:00,35,232
90,5000,2020-09-08 00:00:00,145,10
1666,3000,2021-08-07 00:00:00,47,179
2332,8000,2021-07-15 00:00:00,136,241
338,8000,2021-09-27 00:00:00,108,31
1749,4500,2021-10-17 00:00:00,128,186
1956,3000,2021-05-27 00:00:00,85,207
1041,4000,2021-08-18 00:00:00,79,114
3420,5000,2021-01-28 00:00:00,94,363
949,5000,2021-10-23 00:00:00,112,103
2471,9500,2020-06-06 00:00:00,36,259
1946,3000,2020-07-27 00:00:00,85,207
1137,3500,2021-04-28 00:00:00,23,125
1760,5500,2020-01-12 00:00:00,111,188
1052,6500,2021-03-19 00:00:00,79,115
1295,6500,2021-05-08 00:00:00,117,139
1357,3500,2021-07-25 00:00:00,120,146
1111,9500,2021-08-20 00:00:00,148,123
168,4000,2021-04-16 00:00:00,122,17
401,5000,2020-05-10 00:00:00,107,40
2569,9500,2021-11-03 00:00:00,131,272
1693,4500,2021-06-03 00:00:00,47,182
1799,6500,2021-07-25 00:00:00,87,192
1753,5000,2021-06-06 00:00:00,114,187
514,5500,2021-06-23 00:00:00,146,50
641,5000,2021-12-27 00:00:00,125,65
676,6500,2021-02-15 00:00:00,77,69
1022,5000,2021-12-13 00:00:00,143,111
1071,8500,2021-11-16 00:00:00,41,119
3014,6500,2021-09-08 00:00:00,44,314
373,5500,2021-10-28 00:00:00,116,36
2539,9500,2021-07-07 00:00:00,134,267
2577,9500,2021-11-11 00:00:00,131,272
1904,8000,2021-10-11 00:00:00,28,201
249,6500,2021-11-14 00:00:00,9,23
2213,9500,2021-12-22 00:00:00,92,231
3229,6500,2021-10-26 00:00:00,129,343
186,5000,2021-09-09 00:00:00,122,18
1880,9500,2021-07-06 00:00:00,83,200
1324,8500,2021-07-01 00:00:00,126,142
673,6500,2020-11-15 00:00:00,77,69
1038,4000,2021-05-18 00:00:00,79,114
1528,3000,2021-01-19 00:00:00,64,167
1500,5000,2021-12-04 00:00:00,124,163
1060,9500,2021-12-09 00:00:00,105,118
2523,3000,2020-12-28 00:00:00,134,264
516,7000,2020-03-05 00:00:00,127,51
124,8000,2021-10-15 00:00:00,104,11
2585,6500,2021-12-23 00:00:00,131,273
908,4000,2021-10-20 00:00:00,54,97
3318,5000,2021-03-20 00:00:00,130,352
1512,9500,2021-08-18 00:00:00,124,164
330,8000,2021-01-27 00:00:00,108,31
2584,6500,2021-11-23 00:00:00,131,273
2893,6500,2021-05-13 00:00:00,45,302
533,7000,2021-03-10 00:00:00,127,51
2096,5000,2021-10-06 00:00:00,118,221
780,5500,2021-11-24 00:00:00,96,82
95,5000,2021-09-01 00:00:00,145,10
3389,5000,2021-05-26 00:00:00,95,358
556,5000,2020-12-25 00:00:00,99,54
2154,5000,2021-07-20 00:00:00,88,225
1714,3000,2020-08-08 00:00:00,128,184
1466,6500,2021-03-21 00:00:00,133,158
1768,5500,2021-01-08 00:00:00,111,188
912,5000,2020-08-08 00:00:00,54,98
2527,7500,2021-10-08 00:00:00,134,265
151,5000,2021-12-24 00:00:00,104,13
2596,5000,2021-11-19 00:00:00,86,274
1762,5500,2021-01-02 00:00:00,111,188
2414,5500,2021-08-22 00:00:00,38,252
156,3000,2021-04-26 00:00:00,115,15
1589,5000,2021-11-06 00:00:00,150,172
1496,8000,2021-08-11 00:00:00,133,161
2342,5000,2021-05-29 00:00:00,19,243
552,5000,2020-08-25 00:00:00,99,54
1498,4500,2021-11-29 00:00:00,124,162
1344,7000,2021-02-11 00:00:00,120,145
